rank,acci_name_ar,acci_name_normalized,count,share
70,حادث تدهور مركبة ثقيلة- بسيط,حادث تدهور مركبة ثقيلة - بسيط,735,0.00102061
71,حريق مركبة أثناء سيرها,حريق مركبة أثناء سيرها,728,0.00101089
72,حادث تدهور دراجة- بسيط,حادث تدهور دراجة - بسيط,703,0.00097618
73,دهس وهروب - بسيط,دهس وهروب - بسيط,700,0.00097201
74,اصطدام بين شاحنة ومركبة - بسيط,اصطدام بين شاحنة ومركبة - بسيط,674,0.00093591
75,حادث تدهور مركبة خفيفة- بليغ,حادث تدهور مركبة خفيفة - بليغ,630,0.00087481
76,حادث صدم دراجة- متوسط,حادث صدم دراجة - متوسط,525,0.00072901
77,حادث صدم مبنى او بيوت او معرض- بسيط,حادث صدم مبنى او بيوت او معرض - بسيط,523,0.00072623
78,حريق مركبة أثناء سيرها - بليغ,حريق مركبة أثناء سيرها - بليغ,487,0.00067624
79,دخول شاحنة في مكان ممنوع - بسيط,دخول شاحنة في مكان ممنوع - بسيط,482,0.00066930
80,صدم عمود - بليغ,صدم عمود - بليغ,433,0.00060126
81,سقوط مركبة في حفرة - بسيط,سقوط مركبة في حفرة - بسيط,428,0.00059432
82,صدم حواجز - بسيط,صدم حواجز - بسيط,414,0.00057488
83,حادث صدم حاجز- بليغ,حادث صدم حاجز - بليغ,407,0.00056516
84,مشاهدة مركبة تسير عكس اتجاه السير - بسيط,مشاهدة مركبة تسير عكس اتجاه السير - بسيط,399,0.00055405
85,صدم إشارة ضوئية - بسيط,صدم إشارة ضوئية - بسيط,398,0.00055266
86,تعطل مركبة عسكرية - بسيط,تعطل مركبة عسكرية - بسيط,392,0.00054433
87,صدم رصيف - بليغ,صدم رصيف - بليغ,382,0.00053044
88,حادث اصطدام بين عدة سيارات- متوسط,حادث اصطدام بين عدة سيارات - متوسط,377,0.00052350
89,تدهور مركبة ثقيلة - بليغ,تدهور مركبة ثقيلة - بليغ,375,0.00052072
90,تعطل مركبة نتيجة حادث مروري بسيط,تعطل مركبة نتيجة حادث مروري بسيط,362,0.00050267
91,اصطدام بين شاحنتين - بسيط,اصطدام بين شاحنتين - بسيط,353,0.00049017
92,التسابق في الشارع العام - بسيط,التسابق في الشارع العام - بسيط,351,0.00048740
93,تم الغاء نوع الحدث3,تم الغاء نوع الحدث3,338,0.00046934
94,دهس وهروب - بليغ,دهس وهروب - بليغ,336,0.00046657
95,الصدم والهروب - بليغ,الصدم والهروب - بليغ,335,0.00046518
96,سقوط حمولة من على مركبة أثناء سيرها - بسيط,سقوط حمولة من على مركبة أثناء سيرها - بسيط,335,0.00046518
97,حادث صدم حيوان-بسيط,حادث صدم حيوان - بسيط,294,0.00040825
98,حادث دهس امراة- بليغ,حادث دهس امراة - بليغ,264,0.00036659
99,حادث دهس امراة- بسيط,حادث دهس امراة - بسيط,261,0.00036242
100,حادث حريق في مركبة- بليغ,حادث حريق في مركبة - بليغ,259,0.00035964
101,اصطدام بين شاحنة ومركبة - بليغ,اصطدام بين شاحنة ومركبة - بليغ,257,0.00035687
102,صدم جدار - بليغ,صدم جدار - بليغ,247,0.00034298
103,مسيرات احتفالية غير مرخصة - بسيط,مسيرات احتفالية غير مرخصة - بسيط,218,0.00030271
104,سقوط مركبة في حفرة- بسيط,سقوط مركبة في حفرة - بسيط,214,0.00029716
105,حادث صدم عمود- بليغ,حادث صدم عمود - بليغ,202,0.00028050
106,صدم مركبة عسكرية - بسيط,صدم مركبة عسكرية - بسيط,188,0.00026105
107,حادث تدهور مركبة ثقيلة- بليغ,حادث تدهور مركبة ثقيلة - بليغ,184,0.00025550
108,حادث صدم رصيف- بليغ,حادث صدم رصيف - بليغ,182,0.00025272
109,حادث صدم اشارة مرورية- بسيط,حادث صدم اشارة مرورية - بسيط,173,0.00024023
110,حادث دهس رجل- متوسط,حادث دهس رجل - متوسط,170,0.00023606
111,حادث صدم حاجز- متوسط,حادث صدم حاجز - متوسط,159,0.00022079
112,مروري,مروري,133,0.00018468
113,حادث تدهور دراجة- متوسط,حادث تدهور دراجة - متوسط,131,0.00018191
114,حادث دهس طفل- بليغ,حادث دهس طفل - بليغ,130,0.00018052
115,حادث اصطدام بين سيارتين,حادث اصطدام بين سيارتين,129,0.00017913
116,حادث دهس طفل- بسيط,حادث دهس طفل - بسيط,126,0.00017496
117,حادث صدم جدار- بليغ,حادث صدم جدار - بليغ,120,0.00016663
118,اصطدام بين شاحنتين - بليغ,اصطدام بين شاحنتين - بليغ,116,0.00016108
119,حادث صدم رصيف- متوسط,حادث صدم رصيف - متوسط,114,0.00015830
120,صدم جسر من شاحنة عالية الارتفاع - بسيط,صدم جسر من شاحنة عالية الارتفاع - بسيط,104,0.00014441
121,حادث حريق في مركبة- متوسط,حادث حريق في مركبة - متوسط,100,0.00013886
122,صدم شجرة - بليغ,صدم شجرة - بليغ,84,0.00011664
123,حادث تدهور مركبة خفيفة- متوسط,حادث تدهور مركبة خفيفة - متوسط,84,0.00011664
124,انفصال مقطورة عن مركبة أثناء سيرها - بسيط,انفصال مقطورة عن مركبة أثناء سيرها - بسيط,77,0.00010692
125,حادث صدم عمود- متوسط,حادث صدم عمود - متوسط,70,0.00009720
126,حادث صدم و هروب- بليغ,حادث صدم و هروب - بليغ,69,0.00009581
127,سقوط شخص من مركبة أثناء سيرها - بسيط,سقوط شخص من مركبة أثناء سيرها - بسيط,61,0.00008470
128,صدم مركبة نقل أموال - بسيط,صدم مركبة نقل أموال - بسيط,59,0.00008193
129,حادث دهس امراة- متوسط,حادث دهس امراة - متوسط,50,0.00006943
130,حوادث مرورية اخرى,حوادث مرورية اخرى,48,0.00006665
131,ازدحام في المنافذ الحدودية - بسيط,ازدحام في المنافذ الحدودية - بسيط,48,0.00006665
132,تعطل مركبة نقل موقوفين أو مساجين - بسيط,تعطل مركبة نقل موقوفين أو مساجين - بسيط,45,0.00006249
