model,notes,train_rows_used,validation_rows,test_rows,threshold,validation_f1,validation_pr_auc,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
Historical risk,Train-period full-grid empirical risk by inside-Dubai H3 cell and hour block.,1217062,4461795,4463100,0.06268806755542755,0.1602178882659637,0.0931502631924066,0.7990473721844511,0.08823783543778374,0.10630129150073706,0.26786110289769366,0.15220119182001943,4111159,243717,79235,28989
XGBoost current features,Current full-grid XGBoost feature set without neighbor lags.,1000000,4461795,4463100,0.8322746753692627,0.16442851302986397,0.09695995165315242,0.8066933389184998,0.0967012837008513,0.11650636434330619,0.26302853341218213,0.16148448180987876,4139012,215864,79758,28466
XGBoost + neighbor lags,Current XGBoost features plus ring-1 inside-Dubai neighbor lag features.,1000000,4461795,4463100,0.8268836140632629,0.16597333746106066,0.0982308607949523,0.8119544696875363,0.09919960470652082,0.11786586586586587,0.27200066528681255,0.1644644583126149,4134563,220313,78787,29437
