model,notes,train_rows_used,validation_rows,test_rows,threshold,validation_f1,validation_pr_auc,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
Historical risk,Train-period full-grid empirical risk by inside-Dubai H3 cell and hour block.,1217062,4461795,4463100,0.06268806755542755,0.1602178882659637,0.0931502631924066,0.7990473721844511,0.08823783543778374,0.10630129150073706,0.26786110289769366,0.15220119182001943,4111159,243717,79235,28989
Logistic Regression,Sampled inside-Dubai training rows with class_weight=balanced.,1217062,4461795,4463100,0.8280542492866516,0.16160855206440572,0.09507144766470443,0.7994691436308451,0.09320683593889759,0.10867383821926824,0.2791986989946777,0.15645136654179623,4107049,247827,78008,30216
Random Forest,"Sampled inside-Dubai training rows with deterministic stratified cap of 500,000 rows.",500000,4461795,4463100,0.799126923084259,0.163537483355882,0.09593761194965901,0.8061947899243656,0.09535040537746163,0.11325870178015868,0.2721300266114725,0.15994807973779182,4124294,230582,78773,29451
XGBoost,"Sampled inside-Dubai training rows, CPU histogram trees, deterministic cap of 1,000,000 rows.",1000000,4461795,4463100,0.8322746753692627,0.16442851302986397,0.09695995165315242,0.8066933389184998,0.0967012837008513,0.11650636434330619,0.26302853341218213,0.16148448180987876,4139012,215864,79758,28466
