setting_id,h3_resolution,window_hours,model,metric_type,k,top_cell_share,test_positive_rate,evaluated_windows,windows_with_positives,total_positive_cell_windows,positive_cell_windows_captured,recall_at_k,mean_window_recall_at_k,precision_at_k,precision_lift_vs_base_rate,positive_window_hit_rate_at_k,total_incidents,incidents_captured,incident_recall_at_k
res7_3h,7,3,Historical risk,fixed,5,0.023148148148148147,0.13088991769547326,3420,3122,96691,7792,0.08058661095655231,0.08523493197984465,0.45567251461988306,3.48134159332306,0.938821268417681,120653,12209,0.10119101887230322
res7_3h,7,3,Historical risk,fixed,10,0.046296296296296294,0.13088991769547326,3420,3122,96691,14450,0.1494451396717378,0.1570532975084854,0.42251461988304095,3.2280150169095365,0.9836643177450353,120653,21747,0.18024417130116946
res7_3h,7,3,Historical risk,fixed,20,0.09259259259259259,0.13088991769547326,3420,3122,96691,25617,0.2649367572990247,0.27563483741336486,0.37451754385964914,2.8613169788294672,0.9961563100576554,120653,36816,0.30513953237797653
res7_3h,7,3,Historical risk,top_share_1p5pct,3,0.013888888888888888,0.13088991769547326,3420,3122,96691,4900,0.050676898573807284,0.05376922445114503,0.4775828460038986,3.648736697314124,0.8574631646380525,120653,7811,0.06473937655922356
res7_3h,7,3,XGBoost,fixed,5,0.023148148148148147,0.13088991769547326,3420,3122,96691,6219,0.0643182922919403,0.06366123119774764,0.3636842105263158,2.778550227011821,0.8302370275464446,120653,9421,0.07808342933868201
res7_3h,7,3,XGBoost,fixed,10,0.046296296296296294,0.13088991769547326,3420,3122,96691,11702,0.12102470757361078,0.12238957519228565,0.3421637426900585,2.614133683589993,0.9401024983984625,120653,17158,0.14220947676394288
res7_3h,7,3,XGBoost,fixed,20,0.09259259259259259,0.13088991769547326,3420,3122,96691,21226,0.21952405084237417,0.22455366881839506,0.3103216374269006,2.370859749097641,0.9849455477258168,120653,29782,0.24684011172536116
res7_3h,7,3,XGBoost,top_share_1p5pct,3,0.013888888888888888,0.13088991769547326,3420,3122,96691,3856,0.03987961651032671,0.03884622441492291,0.37582846003898635,2.871332388743523,0.7190903267136451,120653,5944,0.049265248273975784
res8_1h,8,1,Historical risk,fixed,5,0.0038314176245210726,0.008387584981799085,10258,9294,112282,3158,0.028125612297607808,0.028063484659966283,0.06157145642425424,7.340784809675639,0.2902948138584033,115283,3341,0.028980855807014042
res8_1h,8,1,Historical risk,fixed,10,0.007662835249042145,0.008387584981799085,10258,9294,112282,5510,0.049072870094939526,0.04915591188222574,0.05371417430298304,6.404009547389609,0.43985366903378526,115283,5791,0.05023290511176843
res8_1h,8,1,Historical risk,fixed,20,0.01532567049808429,0.008387584981799085,10258,9294,112282,9769,0.08700415026451257,0.08886618780065232,0.04761649444336128,5.6770208047594455,0.6256724768667958,115283,10221,0.08866007997709983
res8_1h,8,1,Historical risk,top_share_1p5pct,20,0.01532567049808429,0.008387584981799085,10258,9294,112282,9769,0.08700415026451257,0.08886618780065232,0.04761649444336128,5.6770208047594455,0.6256724768667958,115283,10221,0.08866007997709983
res8_1h,8,1,XGBoost,fixed,5,0.0038314176245210726,0.008387584981799085,10258,9294,112282,2676,0.023832849432678434,0.024235285155167957,0.05217391304347826,6.220373701929072,0.250161394448031,115283,2806,0.02434010218332278
res8_1h,8,1,XGBoost,fixed,10,0.007662835249042145,0.008387584981799085,10258,9294,112282,4823,0.04295434709036177,0.04387202474214448,0.04701696237083252,5.605542295292211,0.39724553475360447,115283,5043,0.04374452434443934
res8_1h,8,1,XGBoost,fixed,20,0.01532567049808429,0.008387584981799085,10258,9294,112282,8542,0.07607630786769028,0.07747969381542084,0.04163579645155001,4.963979088366791,0.5729502905100065,115283,8920,0.07737480808098332
res8_1h,8,1,XGBoost,top_share_1p5pct,20,0.01532567049808429,0.008387584981799085,10258,9294,112282,8542,0.07607630786769028,0.07747969381542084,0.04163579645155001,4.963979088366791,0.5729502905100065,115283,8920,0.07737480808098332
res8_3h,8,3,Historical risk,fixed,5,0.0038314176245210726,0.02424861643252448,3420,3122,108224,2939,0.02715663808397398,0.027397219995417593,0.17187134502923976,7.087882539917208,0.6156310057655349,115298,3443,0.029861749553331367
res8_3h,8,3,Historical risk,fixed,10,0.007662835249042145,0.02424861643252448,3420,3122,108224,4971,0.04593251034890597,0.046914948547056336,0.14535087719298245,5.994192600532229,0.7821909032671365,115298,5728,0.04967995975645718
res8_3h,8,3,Historical risk,fixed,20,0.01532567049808429,0.02424861643252448,3420,3122,108224,8847,0.08174711709047901,0.08320474036169667,0.1293421052631579,5.333999390153755,0.9106342088404868,115298,10043,0.08710471994310395
res8_3h,8,3,Historical risk,top_share_1p5pct,20,0.01532567049808429,0.02424861643252448,3420,3122,108224,8847,0.08174711709047901,0.08320474036169667,0.1293421052631579,5.333999390153755,0.9106342088404868,115298,10043,0.08710471994310395
res8_3h,8,3,XGBoost,fixed,5,0.0038314176245210726,0.02424861643252448,3420,3122,108224,2373,0.021926744529863988,0.020461444994656523,0.1387719298245614,5.7228803222945,0.5144138372837924,115298,2784,0.024146125691685894
res8_3h,8,3,XGBoost,fixed,10,0.007662835249042145,0.02424861643252448,3420,3122,108224,4171,0.03854043465405086,0.037622050138143764,0.12195906432748538,5.029526722353637,0.6934657270980141,115298,4786,0.04150982670991691
res8_3h,8,3,XGBoost,fixed,20,0.01532567049808429,0.02424861643252448,3420,3122,108224,7256,0.0670461265523359,0.06643804591972094,0.10608187134502924,4.374759757539917,0.8424087123638693,115298,8193,0.07105934187930406
res8_3h,8,3,XGBoost,top_share_1p5pct,20,0.01532567049808429,0.02424861643252448,3420,3122,108224,7256,0.0670461265523359,0.06643804591972094,0.10608187134502924,4.374759757539917,0.8424087123638693,115298,8193,0.07105934187930406
res8_6h,8,6,Historical risk,fixed,5,0.0038314176245210726,0.04650624005735923,1710,1567,103781,2552,0.024590242915369865,0.025515204893223113,0.2984795321637427,6.418053400911535,0.822590938098277,115276,3384,0.02935563343627468
res8_6h,8,6,Historical risk,fixed,10,0.007662835249042145,0.04650624005735923,1710,1567,103781,4488,0.04324490995461597,0.04452232117189526,0.2624561403508772,5.643460749077385,0.9285258455647735,115276,5747,0.049854262812727715
res8_6h,8,6,Historical risk,fixed,20,0.01532567049808429,0.04650624005735923,1710,1567,103781,7929,0.07640126805484626,0.07781422474011163,0.2318421052631579,4.985182740578719,0.9802169751116784,115276,9915,0.08601096498837572
res8_6h,8,6,Historical risk,top_share_1p5pct,20,0.01532567049808429,0.04650624005735923,1710,1567,103781,7929,0.07640126805484626,0.07781422474011163,0.2318421052631579,4.985182740578719,0.9802169751116784,115276,9915,0.08601096498837572
res8_6h,8,6,XGBoost,fixed,5,0.0038314176245210726,0.04650624005735923,1710,1567,103781,2319,0.0223451306115763,0.022454509394260237,0.2712280701754386,5.8320790896214145,0.7600510529674538,115276,3095,0.02684860682188834
res8_6h,8,6,XGBoost,fixed,10,0.007662835249042145,0.04650624005735923,1710,1567,103781,4166,0.040142222564824005,0.04099739708616778,0.24362573099415205,5.238560044709533,0.9068283343969368,115276,5363,0.0465231271036469
res8_6h,8,6,XGBoost,fixed,20,0.01532567049808429,0.04650624005735923,1710,1567,103781,7278,0.07012844354939729,0.07190418825044058,0.21280701754385964,4.575880941598173,0.97319719208679,115276,9125,0.079157847253548
res8_6h,8,6,XGBoost,top_share_1p5pct,20,0.01532567049808429,0.04650624005735923,1710,1567,103781,7278,0.07012844354939729,0.07190418825044058,0.21280701754385964,4.575880941598173,0.97319719208679,115276,9125,0.079157847253548
res9_3h,9,3,Historical risk,fixed,5,0.0005828185103158877,0.0037719604992198412,3420,3122,110670,725,0.006551007499774103,0.006799939841050484,0.04239766081871345,11.240218668112405,0.20275464445868033,113393,759,0.0066935348742867724
res9_3h,9,3,Historical risk,fixed,10,0.0011656370206317753,0.0037719604992198412,3420,3122,110670,1319,0.011918315713382126,0.01206353711802382,0.038567251461988306,10.224723050510526,0.33568225496476617,113393,1381,0.012178882294321519
res9_3h,9,3,Historical risk,fixed,20,0.0023312740412635507,0.0037719604992198412,3420,3122,110670,2296,0.020746363061353575,0.021320834585830763,0.0335672514619883,8.899152435167615,0.5012812299807815,113393,2414,0.021288792077112345
res9_3h,9,3,Historical risk,top_share_1p5pct,131,0.015269844970276256,0.0037719604992198412,3420,3122,110670,11258,0.10172585163097497,0.10472032827561428,0.025128342484710502,6.661878482001025,0.9381806534272902,113393,11701,0.10318979125695589
res9_3h,9,3,XGBoost,fixed,5,0.0005828185103158877,0.0037719604992198412,3420,3122,110670,675,0.006099213879100027,0.006376550323265354,0.039473684210526314,10.465031173759826,0.19250480461242794,113393,736,0.00649070048415687
res9_3h,9,3,XGBoost,fixed,10,0.0011656370206317753,0.0037719604992198412,3420,3122,110670,1287,0.011629167796150718,0.012006506880907136,0.03763157894736842,9.9766630523177,0.33151825752722613,113393,1383,0.012196520067376293
res9_3h,9,3,XGBoost,fixed,20,0.0023312740412635507,0.0037719604992198412,3420,3122,110670,2380,0.021505376344086023,0.02202583729221741,0.0347953216374269,9.224731182795699,0.5096092248558616,113393,2512,0.022153042956796275
res9_3h,9,3,XGBoost,top_share_1p5pct,131,0.015269844970276256,0.0037719604992198412,3420,3122,110670,10931,0.09877112135176651,0.10155931646720079,0.0243984643542699,6.468377481502328,0.9336963484945547,113393,11375,0.10031483424902772
