model,k,evaluated_windows,windows_with_positives,total_positive_cell_windows,positive_cell_windows_captured,recall_at_k,mean_window_recall_at_k,precision_at_k,positive_window_hit_rate_at_k,total_incidents,incidents_captured,incident_recall_at_k
uncalibrated,5,3420,3122,108224,2966,0.02740612063867534,0.02739504167628513,0.17345029239766083,0.6188340807174888,115298,3477,0.030156637582612014
uncalibrated,10,3420,3122,108224,5108,0.047198403311649914,0.048167381185331724,0.14935672514619883,0.7901985906470211,115298,5873,0.05093757046956582
uncalibrated,20,3420,3122,108224,9138,0.08443598462448255,0.08695956839408743,0.13359649122807019,0.92152466367713,115298,10416,0.0903398150878593
sigmoid,5,3420,3122,108224,2966,0.02740612063867534,0.02739504167628513,0.17345029239766083,0.6188340807174888,115298,3477,0.030156637582612014
sigmoid,10,3420,3122,108224,5108,0.047198403311649914,0.048167381185331724,0.14935672514619883,0.7901985906470211,115298,5873,0.05093757046956582
sigmoid,20,3420,3122,108224,9138,0.08443598462448255,0.08695956839408743,0.13359649122807019,0.92152466367713,115298,10416,0.0903398150878593
isotonic,5,3420,3122,108224,2943,0.027193598462448256,0.027271820706320424,0.17210526315789473,0.6146700832799488,115298,3450,0.029922461794653854
isotonic,10,3420,3122,108224,5124,0.047346244825547015,0.04830326669519277,0.14982456140350878,0.791800128122998,115298,5885,0.05104164859754722
isotonic,20,3420,3122,108224,9165,0.08468546717918392,0.08709700791232129,0.13399122807017544,0.9202434336963485,115298,10440,0.0905479713438221
