model,notes,train_rows_used,validation_rows,test_rows,threshold,validation_f1,validation_pr_auc,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
Historical risk,Train-period full-grid empirical risk by inside-Dubai H3 cell and hour block.,1217062,4461795,4463100,0.06268806755542755,0.1602178882659637,0.0931502631924066,0.7990473721844511,0.08823783543778374,0.10630129150073706,0.26786110289769366,0.15220119182001943,4111159,243717,79235,28989
XGBoost neighbor random sample,Neighbor-feature XGBoost trained on the existing sampled-negative training table.,1000000,4461795,4463100,0.8268836140632629,0.16597333746106066,0.0982308607949523,0.8119544696875363,0.09919960470652082,0.11786586586586587,0.27200066528681255,0.1644644583126149,4134563,220313,78787,29437
XGBoost neighbor hard negatives,Neighbor-feature XGBoost trained on all positives plus 70/30 hard/random negatives from training windows.,1000000,4461795,4463100,0.8681946396827698,0.09796442037534397,0.04716492657794337,0.6934312821588773,0.048684399571718905,0.05989361101610777,0.33333641336487285,0.1015422029943339,3788633,566243,72149,36075
