model,k,evaluated_windows,windows_with_positives,total_positive_cell_windows,positive_cell_windows_captured,recall_at_k,mean_window_recall_at_k,precision_at_k,positive_window_hit_rate_at_k,total_incidents,incidents_captured,incident_recall_at_k
Historical risk,5,3420,3122,108224,2939,0.02715663808397398,0.027397219995417593,0.17187134502923976,0.6156310057655349,115298,3443,0.029861749553331367
Historical risk,10,3420,3122,108224,4971,0.04593251034890597,0.046914948547056336,0.14535087719298245,0.7821909032671365,115298,5728,0.04967995975645718
Historical risk,20,3420,3122,108224,8847,0.08174711709047901,0.08320474036169667,0.1293421052631579,0.9106342088404868,115298,10043,0.08710471994310395
XGBoost neighbor random sample,5,3420,3122,108224,2966,0.02740612063867534,0.02739504167628513,0.17345029239766083,0.6188340807174888,115298,3477,0.030156637582612014
XGBoost neighbor random sample,10,3420,3122,108224,5108,0.047198403311649914,0.048167381185331724,0.14935672514619883,0.7901985906470211,115298,5873,0.05093757046956582
XGBoost neighbor random sample,20,3420,3122,108224,9138,0.08443598462448255,0.08695956839408743,0.13359649122807019,0.92152466367713,115298,10416,0.0903398150878593
XGBoost neighbor hard negatives,5,3420,3122,108224,1059,0.009785260201064459,0.011496777101191898,0.06192982456140351,0.2908392056374119,115298,1120,0.009713958611597772
XGBoost neighbor hard negatives,10,3420,3122,108224,2118,0.019570520402128918,0.022999346688874104,0.06192982456140351,0.4951953875720692,115298,2239,0.019419244045863763
XGBoost neighbor hard negatives,20,3420,3122,108224,4173,0.038558914843287995,0.045061355547183844,0.06100877192982456,0.7280589365791159,115298,4427,0.03839615604780655
