setting_id,h3_resolution,window_hours,model,train_rows_used,threshold,validation_f1,validation_pr_auc,test_roc_auc,test_pr_auc,test_positive_rate,test_pr_auc_lift_vs_base_rate,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
res7_3h,7,3,Historical risk,1949190,0.14744232594966888,0.41922822626568373,0.36201532763668637,0.7891091362355861,0.347365895561012,0.13088991769547326,2.6538781724134695,0.32255088130770465,0.56039341820852,0.4094378116971437,528225,113804,42506,54185
res7_3h,7,3,XGBoost,1000000,0.9999232292175293,0.28463658470683595,0.20076913614451522,0.676704900469102,0.21921081514235347,0.13088991769547326,1.6747723507044021,0.18021756817572165,0.8407400895636615,0.2968117889325408,272244,369785,15399,81292
res8_1h,8,1,Historical risk,2236854,0.03209628909826279,0.07484331923871324,0.03328269789787269,0.7947552880408929,0.03161247389618286,0.008387584981799085,3.768960191137423,0.04689940097429084,0.1433622486240003,0.07067744442444227,12947281,327127,96185,16097
res8_1h,8,1,XGBoost,1000000,0.9999639987945557,0.054152695812790294,0.02440036820630871,0.7758260306424034,0.02422901279493294,0.008387584981799085,2.8886756852549906,0.032901695927849924,0.1432197502716375,0.053510492628622675,12801730,472678,96201,16081
res8_3h,8,3,Historical risk,2161668,0.06268806755542755,0.1602178882659637,0.0931502631924066,0.7990473721844511,0.08823783543778374,0.02424861643252448,3.638881240227423,0.10630129150073706,0.26786110289769366,0.15220119182001943,4111159,243717,79235,28989
res8_3h,8,3,XGBoost,1000000,0.9999698400497437,0.09786520055295844,0.05335114036850196,0.7371177814895916,0.05641632421926976,0.02424861643252448,2.326579100966725,0.07323641697854175,0.17991388231815494,0.10409822261547386,4108482,246394,88753,19471
res8_6h,8,6,Historical risk,2079702,0.09473684430122375,0.24054791222506977,0.1674770280785155,0.7998387340547018,0.1583776873942439,0.04650624005735923,3.4055147696073944,0.16961025826594853,0.35228028251799465,0.22897655746021406,1948776,178993,67221,36560
res8_6h,8,6,XGBoost,1000000,0.9999614953994751,0.1603188580677613,0.09941629711130771,0.7253742690243733,0.0963671228918221,0.04650624005735923,2.0721331755258245,0.09124926316809458,0.5444349158323778,0.1563017817772405,1565066,562703,47279,56502
res9_3h,9,3,Historical risk,2215614,0.02407221682369709,0.05136502544531956,0.01947576905774207,0.8182632809344476,0.017263841054200618,0.0037719604992198412,4.576888081879786,0.029602832765065482,0.0977500677690431,0.04544347080914415,28874890,354620,99852,10818
res9_3h,9,3,XGBoost,1000000,0.9999663829803467,0.036293946317008996,0.013445275997478467,0.7865786314117089,0.013222316588214862,0.0037719604992198412,3.505422867219752,0.02332406950468819,0.08925634770037047,0.03698371900161181,28815877,413633,100792,9878
