method,notes,train_rows_used,validation_rows,test_rows,threshold,validation_f1,validation_pr_auc,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,test_brier_score,test_log_loss,test_ece_equal_frequency,test_mce_equal_frequency,test_tn,test_fp,test_fn,test_tp
uncalibrated,Raw default neighbor-feature XGBoost probability score.,1000000,4461795,4463100,0.8268836140632629,0.16597333746106066,0.0982308607949523,0.8119544696875363,0.09919960470652082,0.11786586586586587,0.27200066528681255,0.1644644583126149,0.21270602941513062,0.5953200459480286,0.3517820458804672,0.7414690505250725,4134563,220313,78787,29437
sigmoid,Platt/sigmoid calibration fitted on validation predictions only.,1000000,4461795,4463100,0.07993732392787933,0.16597333746106066,0.09823086079433976,0.8119544696917799,0.09919960470579993,0.11786586586586587,0.27200066528681255,0.1644644583126149,0.022673629224300385,0.09832848608493805,0.001323534960950396,0.005035494686719544,4134563,220313,78787,29437
isotonic,Isotonic calibration fitted on validation predictions only.,1000000,4461795,4463100,0.08470840007066727,0.16597333746106066,0.09706378726143583,0.8119155962706953,0.09763366800383952,0.11786586586586587,0.27200066528681255,0.1644644583126149,0.0226724985986948,0.09790196269750595,0.0012927058533394769,0.0027103058104374217,4134563,220313,78787,29437
