example_id,candidate_index,h3_cell_res8,window_index,window_start,actual_label,incident_count,raw_xgboost_score,sigmoid_calibrated_risk,raw_threshold,calibrated_threshold,predicted_label,calibrated_predicted_label,top5_feature_overlap,top_shap_features,top_lime_features
high_risk_true_positive,2500356,8843acd9a7fffff,21290,2025-11-25 12:00:00,1,1,0.9714374542236328,0.3504677414894104,0.8268836140632629,0.07993732392787933,1,1,5,hist_cell_hour_risk; prev_7d_incident_count; neighbor_prev_3h_incident_count; year; prev_24h_incident_count,hist_cell_hour_risk > 0.04; prev_7d_incident_count > 2.00; prev_3h_incident_count <= 0.00; prev_24h_incident_count > 0.00; year > 2022.00
high_risk_false_positive,478367,8843a13687fffff,19741,2025-05-15 21:00:00,0,0,0.9739475250244141,0.37074822187423706,0.8268836140632629,0.07993732392787933,1,1,4,hist_cell_hour_risk; prev_7d_incident_count; neighbor_prev_3h_incident_count; prev_3h_incident_count; year,hist_cell_hour_risk > 0.04; prev_7d_incident_count > 2.00; prev_3h_incident_count > 0.00; neighbor_prev_24h_incident_count > 2.00; neighbor_prev_7d_incident_count > 12.00
low_score_false_negative,129134,8843acd887fffff,19473,2025-04-12 09:00:00,1,1,6.944371853023767e-05,2.7448872970126104e-06,0.8268836140632629,0.07993732392787933,0,0,4,hist_cell_hour_risk; hist_cell_risk; neighbor_prev_7d_incident_count; prev_7d_incident_count; year,hist_cell_hour_risk <= 0.00; neighbor_prev_7d_incident_count <= 1.00; prev_7d_incident_count <= 0.00; neighbor_prev_3h_incident_count <= 0.00; hist_cell_risk <= 0.00
low_risk_true_negative,2904581,8843acc329fffff,21600,2026-01-03 06:00:00,0,0,5.968302139081061e-05,2.3840850644774036e-06,0.8268836140632629,0.07993732392787933,0,0,4,hist_cell_hour_risk; hist_cell_risk; neighbor_prev_7d_incident_count; prev_7d_incident_count; is_weekend,hist_cell_hour_risk <= 0.00; prev_3h_incident_count <= 0.00; neighbor_prev_7d_incident_count <= 1.00; prev_7d_incident_count <= 0.00; hist_cell_risk <= 0.00
