model,status,notes,train_rows_used,validation_rows,test_rows,threshold,validation_f1,validation_pr_auc,test_roc_auc,test_pr_auc,test_precision,test_recall,test_f1,test_tn,test_fp,test_fn,test_tp
Historical risk,trained,Train-only empirical risk by H3 cell and hour block with fallback rates.,2685197,605660,611393,0.24786324799060822,0.6531568904007301,0.6511672447283466,0.8850373042643308,0.6387003997603704,0.5693555806465103,0.7402732575751692,0.6436613154855572,410564,72086,33438,95305
Logistic Regression,trained,"Full training split, class_weight=balanced.",2685197,605660,611393,0.5337942566554547,0.6540829400918778,0.6550583554650055,0.884696092442442,0.6441939100298966,0.5696207069620707,0.7404985125404876,0.6439158817589588,410620,72030,33409,95334
Random Forest,trained,"Deterministic stratified training cap of 500,000 rows.",500000,605660,611393,0.6267421571266877,0.6551599368185204,0.6572622892242528,0.890407122530187,0.6542151502086369,0.5740337932029034,0.7420442276473284,0.6473149098645852,411759,70891,33210,95533
XGBoost,trained,"CPU hist tree method with deterministic stratified training cap of 1,000,000 rows.",1000000,605660,611393,0.708366334438324,0.6555236390380639,0.6586664929935693,0.8898767592126371,0.65439361996585,0.5727240642926789,0.7436831517053354,0.6471025561307939,411221,71429,32999,95744
